Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium,Revenue,Operating Income,Net Income
2004,Philadelphia Phillies,NL East,86,76,2,,"3,250,092","40,125",2nd of 16,"$93,219,167 ",104,105,Citizens Bank Park,167,6.1,
2004,Pittsburgh Pirates,NL Central,72,89,5,,"1,580,031","19,750",15th of 16,"$32,227,929 ",99,99,PNC Park,109,12.2,
2004,Colorado Rockies,NL West,68,94,4,,"2,338,069","28,865",9th of 16,"$65,445,167 ",114,113,Coors Field,132,-7.8,
2004,Oakland Athletics,AL West,91,71,2,,"2,201,516","27,179",7th of 14,"$59,425,667 ",98,99,Network Associates Coliseum,116,5.9,
2004,New York Yankees,AL East,101,61,1,Lost ALCS (4-3),"3,775,292","46,609",1st of 14,"$184,193,950 ",97,98,Yankee Stadium II,264,-37.1,
2004,New York Mets,NL East,71,91,4,,"2,318,951","28,629",11th of 16,"$102,035,970 ",99,98,Shea Stadium,180,-11.2,
2004,Miami Marlins,NL East,83,79,3,,"1,723,105","21,539",14th of 16,"$42,143,042 ",95,95,"U.S. Cellular Field, Pro Player Stadium",103,-11.9,
2004,Minnesota Twins,AL Central,92,70,1,Lost LDS (3-1),"1,911,490","23,599",10th of 14,"$53,890,000 ",102,102,Hubert H. Humphrey Metrodome,102,6.9,
2004,Detroit Tigers,AL Central,72,90,4,,"1,917,004","23,667",9th of 14,"$46,832,000 ",96,94,Comerica Park,126,3.5,
2004,Milwaukee Brewers,NL Central,67,94,6,,"2,062,382","25,462",13th of 16,"$27,528,500 ",101,100,Miller Park,112,22.4,
2004,Los Angeles Angels,AL West,92,70,1,Lost LDS (3-0),"3,375,677","41,675",2nd of 14,"$100,534,667 ",96,97,Angel Stadium of Anaheim,147,-2.6,
2004,Houston Astros,NL Central,92,70,2,Lost NLCS (4-3),"3,087,872","38,122",5th of 16,"$75,397,000 ",100,101,Minute Maid Park,155,30.2,
2004,Los Angeles Dodgers,NL West,93,69,1,Lost LDS (3-1),"3,488,283","43,065",1st of 16,"$92,902,001 ",95,95,Dodger Stadium,166,13.4,
2004,Kansas City Royals,AL Central,58,104,5,,"1,661,478","20,768",13th of 14,"$47,609,000 ",103,101,Kauffman Stadium,104,20.8,
2004,Atlanta Braves,NL East,96,66,1,Lost LDS (3-2),"2,327,565","28,735",10th of 16,"$90,182,500 ",99,101,Turner Field,162,27.6,
2005,Baltimore Orioles,AL East,74,88,4,,"2,624,740","32,404",5th of 14,"$73,914,333 ",99,99,Oriole Park at Camden Yards,156,21,
2005,Chicago White Sox,AL Central,99,63,1,Won WS (4-0),"2,342,833","28,924",7th of 14,"$75,178,000 ",103,103,U.S. Cellular Field,157,21.7,
2005,Chicago Cubs,NL Central,79,83,4,,"3,099,992","38,272",4th of 16,"$87,032,933 ",104,104,Wrigley Field,179,7.9,
2005,Arizona Diamondbacks,NL West,77,85,2,,"2,059,424","25,425",12th of 16,"$62,629,166 ",104,103,Bank One Ballpark,145,21.8,
2005,Boston Red Sox,AL East,95,67,2,Lost LDS (3-0),"2,847,888","35,159",3rd of 14,"$123,505,125 ",104,104,Fenway Park,206,-18.5,
2005,Cleveland Indians,AL Central,93,69,2,,"2,013,763","24,861",12th of 14,"$41,502,500 ",96,96,Jacobs Field,150,34.6,
2005,Tampa Bay Rays,AL East,67,95,5,,"1,141,669","14,095",14th of 14,"$29,679,067 ",100,98,Tropicana Field,116,20.3,
2005,Washington Nationals,NL East,81,81,5,,"2,731,993","33,728",8th of 16,"$48,581,500 ",96,95,Robert F. Kennedy Stadium,145,27.9,
2005,Texas Rangers,AL West,79,83,3,,"2,525,221","31,176",6th of 14,"$55,849,000 ",105,106,Ameriquest Field,153,24.7,
2005,Toronto Blue Jays,AL East,80,82,3,,"2,014,995","24,876",11th of 14,"$45,719,500 ",102,102,Rogers Centre,136,29.7,
2005,Cincinnati Reds,NL Central,73,89,5,,"1,943,067","23,696",13th of 16,"$61,892,583 ",101,100,Great American Ball Park,137,17.9,
2005,St Louis Cardinals,NL Central,100,62,1,Lost NLCS (4-2),"3,538,988","43,691",2nd of 16,"$92,106,833 ",100,101,Busch Stadium II,165,7.9,
2005,San Francisco Giants,NL West,75,87,3,,"3,181,023","39,272",3rd of 16,"$90,199,500 ",101,101,SBC Park,171,11.2,
2005,Seattle Mariners,AL West,69,93,4,,"2,725,459","33,648",4th of 14,"$87,754,334 ",96,95,Safeco Field,179,7.3,
2005,Philadelphia Phillies,NL East,88,74,2,,"2,665,304","32,905",9th of 16,"$95,522,000 ",104,105,Citizens Bank Park,176,14.7,
2005,Pittsburgh Pirates,NL Central,67,95,6,,"1,817,245","22,435",16th of 16,"$38,133,000 ",99,99,PNC Park,125,21.9,
2005,Colorado Rockies,NL West,67,95,5,,"1,914,389","23,634",14th of 16,"$47,839,000 ",113,112,Coors Field,145,16.3,
2005,Oakland Athletics,AL West,88,74,2,,"2,109,118","26,038",8th of 14,"$55,425,762 ",100,100,McAfee Coliseum,134,16,
2005,New York Yankees,AL East,95,67,1,Lost LDS (3-2),"4,090,696","50,502",1st of 14,"$208,306,817 ",97,98,Yankee Stadium II,277,-50,
2005,New York Mets,NL East,83,79,3,,"2,829,929","34,937",6th of 16,"$101,305,821 ",97,97,Shea Stadium,195,-16.2,
